run_id,phase,model,method,sparsity,schedule,calibration,task,num_fewshot,seed,enabled,notes
phase1__llama31_8b__sparsegpt__sp30__schuniform__calA__mmlu__seed13,phase1,llama31_8b,sparsegpt,30,uniform,A,mmlu,5,13,1,smoke sparsegpt 30 mmlu
phase1__llama31_8b__wandapp__sp70__schuniform__calA__mmlu__seed13,phase1,llama31_8b,wandapp,70,uniform,A,mmlu,5,13,1,credibility slice
phase1__llama31_8b__wandapp__sp80__schuniform__calA__mmlu__seed13,phase1,llama31_8b,wandapp,80,uniform,A,mmlu,5,13,1,credibility slice
phase1__llama31_8b__ria__sp70__schuniform__calA__mmlu__seed13,phase1,llama31_8b,ria,70,uniform,A,mmlu,5,13,1,credibility slice
phase1__llama31_8b__ria__sp80__schuniform__calA__mmlu__seed13,phase1,llama31_8b,ria,80,uniform,A,mmlu,5,13,1,credibility slice
phase1__llama31_8b__magnitude__sp80__schuniform__calnone__mmlu__seed13,phase1,llama31_8b,magnitude,80,uniform,none,mmlu,5,13,1,credibility slice


phase1__llama31_8b__dense__sp0__schuniform__calnone__mmlu_aa_zs__seed13,phase1,llama31_8b,dense,0,uniform,none,mmlu_abstract_algebra,0,13,1,runner smoke single subtask
phase1__llama31_8b__dense__sp0__schuniform__calnone__mmlu_aa__seed13,phase1,llama31_8b,dense,0,uniform,none,mmlu_abstract_algebra,5,13,1,runner smoke single subtask 5-shot
phase1__llama31_8b__dense__sp0__schuniform__calnone__synthicl_zs__seed13,phase1,llama31_8b,dense,0,uniform,none,synthetic_linear_icl,0,13,1,dense synthetic zero-shot
